Sent Msg To 0	System Time 0.543	Logical Clock Time 1
Internal Event	System Time 1.046	Logical Clock Time 2	
Receive From 0	System Time 1.551	Logical Clock Time 8	New Msg Queue Length 0
Receive From 0	System Time 2.054	Logical Clock Time 11	New Msg Queue Length 0
Internal Event	System Time 2.559	Logical Clock Time 12	
Receive From 2	System Time 3.063	Logical Clock Time 16	New Msg Queue Length 0
Internal Event	System Time 3.569	Logical Clock Time 17	
Sent Msg To 2	System Time 4.072	Logical Clock Time 18
Receive From 0	System Time 4.578	Logical Clock Time 25	New Msg Queue Length 1
Receive From 0	System Time 5.083	Logical Clock Time 27	New Msg Queue Length 1
Receive From 0	System Time 5.588	Logical Clock Time 31	New Msg Queue Length 1
Receive From 0	System Time 6.090	Logical Clock Time 34	New Msg Queue Length 1
Receive From 2	System Time 6.595	Logical Clock Time 35	New Msg Queue Length 1
Receive From 2	System Time 7.095	Logical Clock Time 39	New Msg Queue Length 2
Receive From 0	System Time 7.601	Logical Clock Time 41	New Msg Queue Length 4
Receive From 0	System Time 8.106	Logical Clock Time 42	New Msg Queue Length 3
Receive From 2	System Time 8.609	Logical Clock Time 43	New Msg Queue Length 3
Receive From 0	System Time 9.114	Logical Clock Time 45	New Msg Queue Length 3
Receive From 0	System Time 9.619	Logical Clock Time 47	New Msg Queue Length 3
Receive From 0	System Time 10.123	Logical Clock Time 54	New Msg Queue Length 3
Receive From 2	System Time 10.628	Logical Clock Time 55	New Msg Queue Length 3
Receive From 2	System Time 11.133	Logical Clock Time 56	New Msg Queue Length 3
Receive From 0	System Time 11.635	Logical Clock Time 62	New Msg Queue Length 3
Receive From 2	System Time 12.140	Logical Clock Time 65	New Msg Queue Length 6
Receive From 2	System Time 12.646	Logical Clock Time 68	New Msg Queue Length 7
Receive From 2	System Time 13.147	Logical Clock Time 70	New Msg Queue Length 7
Receive From 0	System Time 13.648	Logical Clock Time 73	New Msg Queue Length 7
Receive From 0	System Time 14.154	Logical Clock Time 75	New Msg Queue Length 9
Receive From 0	System Time 14.655	Logical Clock Time 76	New Msg Queue Length 9
Receive From 2	System Time 15.160	Logical Clock Time 77	New Msg Queue Length 10
Receive From 0	System Time 15.665	Logical Clock Time 78	New Msg Queue Length 9
Receive From 0	System Time 16.166	Logical Clock Time 79	New Msg Queue Length 10
Receive From 0	System Time 16.671	Logical Clock Time 83	New Msg Queue Length 10
Receive From 2	System Time 17.172	Logical Clock Time 85	New Msg Queue Length 11
Receive From 0	System Time 17.674	Logical Clock Time 88	New Msg Queue Length 12
Receive From 0	System Time 18.179	Logical Clock Time 90	New Msg Queue Length 12
Receive From 2	System Time 18.683	Logical Clock Time 91	New Msg Queue Length 11
Receive From 2	System Time 19.188	Logical Clock Time 92	New Msg Queue Length 11
Receive From 0	System Time 19.694	Logical Clock Time 95	New Msg Queue Length 10
Receive From 2	System Time 20.196	Logical Clock Time 97	New Msg Queue Length 9
Receive From 0	System Time 20.702	Logical Clock Time 102	New Msg Queue Length 9
Receive From 2	System Time 21.205	Logical Clock Time 103	New Msg Queue Length 9
Receive From 0	System Time 21.706	Logical Clock Time 106	New Msg Queue Length 11
Receive From 0	System Time 22.212	Logical Clock Time 109	New Msg Queue Length 11
Receive From 2	System Time 22.717	Logical Clock Time 110	New Msg Queue Length 10
Receive From 0	System Time 23.223	Logical Clock Time 112	New Msg Queue Length 10
Receive From 2	System Time 23.729	Logical Clock Time 114	New Msg Queue Length 11
Receive From 2	System Time 24.234	Logical Clock Time 115	New Msg Queue Length 10
Receive From 0	System Time 24.740	Logical Clock Time 123	New Msg Queue Length 10
Receive From 2	System Time 25.245	Logical Clock Time 129	New Msg Queue Length 9
Receive From 0	System Time 25.750	Logical Clock Time 133	New Msg Queue Length 10
Receive From 0	System Time 26.255	Logical Clock Time 137	New Msg Queue Length 9
Receive From 0	System Time 26.761	Logical Clock Time 139	New Msg Queue Length 8
Receive From 0	System Time 27.263	Logical Clock Time 141	New Msg Queue Length 7
Receive From 0	System Time 27.769	Logical Clock Time 144	New Msg Queue Length 7
Receive From 2	System Time 28.271	Logical Clock Time 146	New Msg Queue Length 7
Receive From 2	System Time 28.777	Logical Clock Time 149	New Msg Queue Length 6
Receive From 0	System Time 29.280	Logical Clock Time 153	New Msg Queue Length 6
Receive From 2	System Time 29.785	Logical Clock Time 158	New Msg Queue Length 7
Receive From 2	System Time 30.291	Logical Clock Time 163	New Msg Queue Length 7
Receive From 0	System Time 30.797	Logical Clock Time 165	New Msg Queue Length 7
Receive From 0	System Time 31.300	Logical Clock Time 178	New Msg Queue Length 7
Receive From 0	System Time 31.807	Logical Clock Time 182	New Msg Queue Length 7
Receive From 2	System Time 32.310	Logical Clock Time 187	New Msg Queue Length 6
Receive From 0	System Time 32.815	Logical Clock Time 190	New Msg Queue Length 7
Receive From 0	System Time 33.318	Logical Clock Time 192	New Msg Queue Length 7
Receive From 0	System Time 33.821	Logical Clock Time 194	New Msg Queue Length 6
Receive From 0	System Time 34.326	Logical Clock Time 199	New Msg Queue Length 7
Receive From 0	System Time 34.832	Logical Clock Time 200	New Msg Queue Length 6
Receive From 0	System Time 35.338	Logical Clock Time 204	New Msg Queue Length 8
Receive From 0	System Time 35.844	Logical Clock Time 211	New Msg Queue Length 7
Receive From 0	System Time 36.348	Logical Clock Time 213	New Msg Queue Length 8
Receive From 0	System Time 36.852	Logical Clock Time 215	New Msg Queue Length 7
Receive From 0	System Time 37.359	Logical Clock Time 223	New Msg Queue Length 6
Receive From 0	System Time 37.865	Logical Clock Time 225	New Msg Queue Length 6
Receive From 2	System Time 38.369	Logical Clock Time 229	New Msg Queue Length 7
Receive From 0	System Time 38.874	Logical Clock Time 231	New Msg Queue Length 7
Receive From 2	System Time 39.380	Logical Clock Time 232	New Msg Queue Length 8
Receive From 2	System Time 39.883	Logical Clock Time 234	New Msg Queue Length 7
Receive From 0	System Time 40.389	Logical Clock Time 236	New Msg Queue Length 7
Receive From 2	System Time 40.893	Logical Clock Time 244	New Msg Queue Length 6
